Id,Category
0,8
1,11
2,9
3,14
4,4
5,3
6,14
7,9
8,3
9,3
10,25
11,26
12,14
13,25
14,14
15,9
16,30
17,8
18,10
19,8
20,3
21,10
22,3
23,10
24,3
25,14
26,3
27,28
28,8
29,2
30,14
31,8
32,3
33,7
34,6
35,3
36,8
37,25
38,11
39,30
40,11
41,8
42,3
43,18
44,23
45,8
46,10
47,25
48,8
49,17
50,20
51,8
52,18
53,8
54,9
55,14
56,8
57,16
58,37
59,15
60,19
61,7
62,8
63,26
64,8
65,6
66,9
67,6
68,16
69,8
70,6
71,37
72,19
73,8
74,12
75,3
76,3
77,5
78,8
79,7
80,8
81,7
82,30
83,3
84,8
85,4
86,11
87,8
88,8
89,19
90,26
91,6
92,8
93,14
94,9
95,7
96,25
97,30
98,7
99,10
100,30
101,9
102,14
103,14
104,8
105,6
106,10
107,16
108,3
109,32
110,40
111,20
112,6
113,18
114,1
115,6
116,10
117,9
118,6
119,8
120,8
121,14
122,7
123,14
124,12
125,8
126,11
127,3
128,6
129,10
130,25
131,8
132,30
133,14
134,14
135,8
136,12
137,30
138,3
139,8
140,10
141,8
142,30
143,2
144,28
145,8
146,8
147,8
148,10
149,37
150,25
151,11
152,6
153,30
154,8
155,8
156,8
157,32
158,16
159,28
160,8
161,6
162,16
163,8
164,3
165,7
166,16
167,6
168,8
169,16
170,12
171,14
172,10
173,8
174,9
175,17
176,8
177,32
178,6
179,8
180,32
181,14
182,8
183,8
184,9
185,32
186,26
187,14
188,30
189,9
190,8
191,8
192,14
193,16
194,19
195,9
196,8
197,16
198,3
199,6
200,10
201,30
202,14
203,8
204,8
205,8
206,8
207,3
208,2
209,3
210,30
211,14
212,32
213,30
214,10
215,3
216,14
217,8
218,28
219,19
220,25
221,30
222,11
223,12
224,11
225,30
226,2
227,12
228,8
229,30
230,18
231,47
232,3
233,11
234,32
235,47
236,18
237,8
238,10
239,8
240,14
241,6
242,26
243,10
244,9
245,7
246,14
247,8
248,30
249,47
250,11
251,10
252,35
253,8
254,8
255,3
256,8
257,6
258,9
259,9
260,8
261,16
262,8
263,10
264,9
265,8
266,10
267,7
268,6
269,12
270,9
271,8
272,10
273,14
274,8
275,3
276,6
277,8
278,24
279,11
280,8
281,25
282,7
283,5
284,28
285,20
286,6
287,7
288,11
289,20
290,17
291,8
292,8
293,8
294,7
295,3
296,39
297,8
298,12
299,30
300,17
301,8
302,3
303,5
304,19
305,18
306,3
307,25
308,12
309,14
310,8
311,14
312,3
313,8
314,6
315,8
316,6
317,16
318,8
319,6
320,32
321,8
322,28
323,8
324,11
325,14
326,24
327,26
328,24
329,14
330,4
331,16
332,28
333,23
334,8
335,8
336,3
337,4
338,8
339,8
340,28
341,26
342,15
343,8
344,3
345,32
346,17
347,8
348,6
349,11
350,3
351,10
352,8
353,8
354,25
355,30
356,12
357,3
358,3
359,14
360,30
361,14
362,8
363,12
364,14
365,20
366,8
367,6
368,32
369,19
370,8
371,16
372,6
373,32
374,1
375,3
376,14
377,6
378,14
379,16
380,2
381,8
382,14
383,8
384,12
385,3
386,14
387,32
388,15
389,6
390,47
391,32
392,9
393,12
394,17
395,19
396,8
397,5
398,8
399,3
400,11
401,3
402,30
403,11
404,20
405,8
406,8
407,25
408,16
409,2
410,26
411,8
412,8
413,10
414,14
415,26
416,10
417,8
418,8
419,1
420,34
421,28
422,9
423,3
424,26
425,30
426,3
427,25
428,8
429,9
430,3
431,3
432,8
433,8
434,30
435,12
436,11
437,30
438,14
439,9
440,8
441,23
442,2
443,6
444,16
445,6
446,37
447,8
448,16
449,2
450,11
451,9
452,17
453,8
454,27
455,16
456,9
457,9
458,30
459,14
460,9
461,8
462,14
463,15
464,9
465,6
466,35
467,3
468,8
469,8
470,11
471,2
472,9
473,0
474,8
475,8
476,17
477,17
478,9
479,2
480,30
481,8
482,23
483,6
484,8
485,8
486,6
487,8
488,16
489,12
490,14
491,30
492,30
493,7
494,8
495,8
496,26
497,7
498,6
499,8
500,8
501,11
502,11
503,30
504,11
505,25
506,30
507,8
508,3
509,8
510,11
511,10
512,8
513,4
514,12
515,8
516,11
517,6
518,10
519,8
520,32
521,20
522,8
523,7
524,30
525,8
526,30
527,17
528,16
529,3
530,8
531,16
532,3
533,8
534,8
535,25
536,30
537,3
538,12
539,25
540,16
541,8
542,28
543,30
544,12
545,6
546,9
547,11
548,11
549,9
550,9
551,8
552,26
553,6
554,40
555,11
556,7
557,10
558,9
559,16
